Cell.Potential (V)	Cell.Current (A)
1.245256	-4.468875E-005
1.244398	-4.735925E-005
1.243571	-4.824941E-005
1.242648	-5.270024E-005
1.241344	-4.557892E-005
1.240355	-5.270024E-005
1.239375	-4.646908E-005
1.238549	-5.181007E-005
1.237115	-5.715106E-005
1.236427	-4.824941E-005
1.235552	-5.181007E-005
1.234515	-0.000067833
1.233122	-6.071172E-005
1.232304	-5.091991E-005
1.231429	-5.181007E-005
1.230489	-6.160189E-005
1.229177	-4.201826E-005
1.228326	-5.181007E-005
1.227354	-5.448057E-005
1.226431	-5.091991E-005
1.225475	-6.427238E-005
1.224244	-6.338222E-005
1.223264	-6.516255E-005
1.222373	-6.071172E-005
1.221376	-0.000067833
1.220348	-5.448057E-005
1.21923	-5.715106E-005
1.218339	-6.071172E-005
1.217407	-6.605271E-005
1.216306	-0.000067833
1.21518	-6.160189E-005
1.214362	-5.181007E-005
1.213511	-5.982156E-005
1.212207	-6.605271E-005
1.211332	-5.804123E-005
1.210457	-6.338222E-005
1.209412	-5.448057E-005
1.208205	-6.961337E-005
1.207322	-5.715106E-005
1.206269	-6.605271E-005
1.20537	-5.62609E-005
1.204528	-6.338222E-005
1.203151	-6.249205E-005
1.202357	-6.427238E-005
1.201506	-6.249205E-005
1.200372	-5.982156E-005
1.199303	-7.40642E-005
1.198226	-7.673469E-005
1.197383	-6.516255E-005
1.196573	-6.605271E-005
1.195245	-6.516255E-005
1.194321	-6.427238E-005
1.193284	-7.940519E-005
1.192491	-0.000067833
1.191154	-7.228387E-005
1.190376	-7.495436E-005
1.189315	-6.605271E-005
1.188384	-7.13937E-005
1.187298	-6.694288E-005
1.186399	-6.605271E-005
1.185225	-6.694288E-005
1.184447	-6.694288E-005
1.183443	-0.000067833
1.1823	-7.050354E-005
1.181304	-6.961337E-005
1.180413	-7.584453E-005
1.179441	-8.029535E-005
1.177959	-7.13937E-005
1.177497	-7.228387E-005
1.176395	-6.605271E-005
1.175504	-6.872321E-005
1.174184	-7.13937E-005
1.173301	-7.495436E-005
1.172345	-8.118552E-005
1.171495	-6.872321E-005
1.170474	-7.673469E-005
1.169413	-0.000073174
1.168149	-7.40642E-005
1.167404	-6.961337E-005
1.166553	-8.652651E-005
1.165241	-8.207568E-005
1.164253	-0.000089197
1.16324	-8.207568E-005
1.162147	-7.495436E-005
1.161118	-8.029535E-005
1.16017	-8.474618E-005
1.159296	-6.872321E-005
1.15838	-0.000083856
1.157206	-7.762486E-005
1.15629	-7.495436E-005
1.155415	-7.13937E-005
1.154411	-8.563634E-005
1.153528	-6.961337E-005
1.152102	-8.029535E-005
1.151365	-7.584453E-005
1.150393	-7.495436E-005
1.149389	-7.673469E-005
1.148287	-9.542816E-005
1.147364	-8.029535E-005
1.146416	-8.296585E-005
1.145525	-8.563634E-005
1.14414	-8.296585E-005
1.143216	-7.940519E-005
1.142277	-0.000083856
1.141459	-7.673469E-005
1.14013	-0.000083856
1.139361	-9.18675E-005
1.138421	-8.474618E-005
1.13736	-9.008717E-005
1.136185	-7.762486E-005
1.13531	-9.18675E-005
1.134266	-7.940519E-005
1.133253	-8.118552E-005
1.132573	-8.207568E-005
1.131196	-8.830684E-005
1.130264	-8.830684E-005
1.129438	-9.364783E-005
1.128498	-0.000099879
1.127283	-9.18675E-005
1.126084	-8.296585E-005
1.125185	-8.118552E-005
1.124318	-9.097733E-005
1.123063	-0.000102
1.122277	-9.275766E-005
1.121224	-9.631832E-005
1.120309	-9.275766E-005
1.119175	-0.000101
1.118227	-9.631832E-005
1.117271	-9.364783E-005
1.116412	-0.000089197
1.115384	-8.830684E-005
1.11446	-0.000089197
1.113334	-9.631832E-005
1.112314	-9.275766E-005
1.111431	-9.364783E-005
1.110305	-9.364783E-005
1.109227	-8.207568E-005
1.108328	-9.364783E-005
1.107526	-8.830684E-005
1.106255	-0.000094538
1.105161	-9.364783E-005
1.104181	-0.000102
1.103525	-9.008717E-005
1.102164	-9.364783E-005
1.101176	-9.720849E-005
1.100212	-9.18675E-005
1.099272	-9.720849E-005
1.098381	-9.720849E-005
1.097215	-0.000094538
1.096202	-9.720849E-005
1.09536	-9.364783E-005
1.09438	-8.741667E-005
1.093327	-9.364783E-005
1.09233	-8.830684E-005
1.091334	-8.741667E-005
1.090305	-0.000094538
1.089114	-0.000106
1.088345	-9.542816E-005
1.087365	-9.809865E-005
1.086433	-9.275766E-005
1.085097	-9.631832E-005
1.084206	-0.000099879
1.08325	-0.000101
1.082205	-9.809865E-005
1.081443	-9.631832E-005
1.080115	-0.000094538
1.079191	-9.275766E-005
1.078357	-0.000103
1.077458	-0.000101
1.076219	-0.000099879
1.075263	-0.000094538
1.074299	-9.542816E-005
1.073424	-0.000103
1.072168	-0.000103
1.071115	-0.000101
1.070289	-9.542816E-005
1.06939	-0.000103
1.068288	-0.000104
1.067268	-9.898882E-005
1.066409	-9.898882E-005
1.065324	-0.000111
1.064133	-0.000103
1.063177	-0.000104
1.062132	-9.720849E-005
1.061184	-9.898882E-005
1.060334	-0.000108
1.059127	-0.000108
1.058236	-0.000106
1.057272	-0.000102
1.056292	-0.000101
1.055093	-0.000102
1.054145	-0.000104
1.053384	-0.000104
1.052509	-0.000105
1.050986	-0.000109
1.050111	-0.000111
1.049366	-0.000103
1.048232	-0.000108
